TimeStamp,StaticAnalyzerTool,ErrorMsg,ErrorType,ErrorCertainty,FilePath,FileName,LineNumber,ErrorCount,
2019-09-19 2:24:39 PM,NDepend,# Rules,NA,NA,NA,NA,NA,152,
2019-09-19 2:24:39 PM,NDepend,# Rules Violated,NA,NA,NA,NA,NA,14,
2019-09-19 2:24:39 PM,NDepend,# Critical Rules Violated,NA,NA,NA,NA,NA,1,
2019-09-19 2:24:39 PM,NDepend,# Quality Gates,NA,NA,NA,NA,NA,11,
2019-09-19 2:24:39 PM,NDepend,# Quality Gates Warn,NA,NA,NA,NA,NA,0,
2019-09-19 2:24:39 PM,NDepend,# Quality Gates Fail,NA,NA,NA,NA,NA,1,
2019-09-19 2:24:39 PM,NDepend,Percentage Debt (Metric),NA,NA,NA,NA,NA,10.65,
2019-09-19 2:24:39 PM,NDepend,Debt (Metric),NA,NA,NA,NA,NA,0.34506,
2019-09-19 2:24:39 PM,NDepend,New Debt since Baseline (Metric),NA,NA,NA,NA,NA,0,
2019-09-19 2:24:39 PM,NDepend,Annual Interest (Metric),NA,NA,NA,NA,NA,0.3887,
2019-09-19 2:24:39 PM,NDepend,New Annual Interest since Baseline (Metric),NA,NA,NA,NA,NA,0,
2019-09-19 2:24:39 PM,NDepend,Breaking Point,NA,NA,NA,NA,NA,0.88772,
2019-09-19 2:24:39 PM,NDepend,Breaking Point of Blocker / Critical / High Issues,NA,NA,NA,NA,NA,0.57547,
2019-09-19 2:24:39 PM,NDepend,# Lines of Code,NA,NA,NA,NA,NA,139,
2019-09-19 2:24:39 PM,NDepend,# Lines of Code (JustMyCode),NA,NA,NA,NA,NA,139,
2019-09-19 2:24:39 PM,NDepend,# Lines of Code (NotMyCode),NA,NA,NA,NA,NA,0,
2019-09-19 2:24:39 PM,NDepend,# Lines of Code Added since the Baseline,NA,NA,NA,NA,NA,0,
2019-09-19 2:24:39 PM,NDepend,# Source Files,NA,NA,NA,NA,NA,10,
2019-09-19 2:24:39 PM,NDepend,# IL Instructions,NA,NA,NA,NA,NA,818,
2019-09-19 2:24:39 PM,NDepend,# IL Instructions (NotMyCode),NA,NA,NA,NA,NA,8,
2019-09-19 2:24:39 PM,NDepend,# Lines of Comments,NA,NA,NA,NA,NA,25,
2019-09-19 2:24:39 PM,NDepend,Percentage of Comments,NA,NA,NA,NA,NA,15.24,
2019-09-19 2:24:39 PM,NDepend,# Assemblies,NA,NA,NA,NA,NA,1,
2019-09-19 2:24:39 PM,NDepend,# Namespaces,NA,NA,NA,NA,NA,1,
